stop_id,stop_name,stop_lat,stop_lon,zone_id
888,S Martinho II (Fradelos),41.505226,-8.476759,3
889,Linhares I ,41.502254,-8.474919,3
890,Linhares I ,41.502300,-8.474855,3
891,Linhares II (Junta Priscos) ,41.500332,-8.477268,3
892,Linhares II (Junta Priscos) ,41.500332,-8.477175,3
895,Linhares III (Igreja),41.498905,-8.476947,3
896,Linhares III (Igreja),41.498905,-8.476862,3
897,Linhares IV ,41.496487,-8.477185,3
898,Linhares IV ,41.496529,-8.477110,3
899,Linhares V (Marco),41.492874,-8.474234,3
900,Linhares V (Marco),41.492863,-8.474143,3
901,Linhares VII (Cruzamento),41.488125,-8.473930,3
902,Linhares VII (Cruzamento),41.488186,-8.473939,3
903,Outeiro I,41.482639,-8.470307,3
904,Outeiro I,41.482689,-8.470249,3
905,Outeiro II,41.482784,-8.469418,3
907,Barros e Soares IV,41.528732,-8.417980,2
908,Barros e Soares IV,41.528751,-8.417881,2
909,Barros e Soares V,41.526264,-8.418185,2
910,Barros e Soares V,41.526245,-8.418094,2
911,Independência I,41.523960,-8.418777,2
912,Independência I,41.524132,-8.418599,2
913,Independência II (Igreja),41.520504,-8.419497,2
914,Independência II (Igreja),41.520721,-8.419542,2
915,Independência III (Limite 2/3),41.517067,-8.420225,2
916,Independência III (Limite 3/2),41.517174,-8.420113,3
917,S Tiago I ,41.514427,-8.420719,3
918,S Tiago I,41.514641,-8.420631,3
919,Granjas I (Cruzamento),41.511868,-8.420302,3
920,Granjas I (Cruzamento),41.511803,-8.420192,3
921,Granjas II,41.510223,-8.420854,3
922,Granjas II,41.510387,-8.420792,3
923,Granjas III (Ressondo),41.508434,-8.422819,3
924,Granjas III (Ressondo),41.508354,-8.422783,3
925,Granjas IV,41.507702,-8.427087,3
926,Granjas IV,41.507687,-8.426746,3
927,Espessandes I,41.507912,-8.429960,3
928,Espessandes I,41.507854,-8.430147,3
929,Pinheiro Bicho II,41.508705,-8.433827,3
930,Pinheiro Bicho II,41.508816,-8.433993,3
931,Pinheiro Bicho I (Além Rio),41.510696,-8.433885,3
932,Pinheiro Bicho I (Além Rio),41.510826,-8.433967,3
933,Veiga II,41.515862,-8.434024,3
934,Veiga II,41.515858,-8.434106,3
935,Veiga I (Limite 2/3),41.518795,-8.434238,2
936,Veiga I (Limite 3/2),41.518803,-8.434153,3
937,Bouça II,41.521061,-8.433194,2
938,Bouça II,41.521088,-8.433282,2
939,Bouça I,41.524235,-8.430010,2
940,Bouça I,41.524273,-8.430080,2
941,José A Ferreira (Junta) ,41.530373,-8.426979,2
942,José A Ferreira (Junta) ,41.530437,-8.427173,2
943,Estrada I ,41.497829,-8.435072,3
944,Estrada I ,41.497967,-8.435072,3
945,Estrada II (Posto Médico),41.494011,-8.433382,3
946,Estrada II (Posto Médico),41.494019,-8.433288,3
947,Estrada III ,41.491253,-8.432426,3
948,Estrada III ,41.491245,-8.432510,3
949,Redondêlo (Correio),41.486416,-8.428443,3
950,Redondêlo (Correio),41.486374,-8.428510,3
951,S Bentinho I (Cruzamento),41.482193,-8.425865,3
952,S Bentinho I (Cruzamento),41.482201,-8.425993,3
953,S Bentinho II (Carreiro),41.480854,-8.426468,3
954,S Bentinho II (Carreiro),41.480873,-8.426549,3
955,Escola (Escudeiros),41.478458,-8.429198,3
956,Granja (Escudeiros),41.478477,-8.428924,3
957,Ferreira I (Granja),41.475132,-8.432408,3
958,Ferreira II (Quebradas),41.478947,-8.434169,3
959,Pinheiro Bicho III (Figueiredo),41.505802,-8.434888,3
960,Pinheiro Bicho III (Figueiredo),41.505802,-8.434795,3
961,Pinheiro Bicho IV (Lamas),41.502438,-8.435200,3
962,Pinheiro Bicho IV (Lamas),41.502438,-8.435116,3
963,Igreja I (Casal Vila),41.500771,-8.439173,3
964,Igreja I (Casal Vila),41.500748,-8.439069,3
965,Paço (Igreja),41.497803,-8.440993,3
966,Paço (Igreja),41.497795,-8.440908,3
967,S Tiago II (Cruzamento),41.511627,-8.419659,3
968,S Tiago III,41.510811,-8.419351,3
969,S Tiago III ,41.510834,-8.419265,3
970,Senhor Aflitos I (Igreja),41.508827,-8.417055,3
971,Senhor Aflitos I (Igreja),41.508900,-8.417001,3
972,Senhor Aflitos II,41.507599,-8.416479,3
973,Senhor Aflitos III,41.506409,-8.416375,3
974,Senhor Aflitos IV (Capela),41.504093,-8.417225,3
975,Senhor Aflitos IV (Capela),41.504108,-8.417118,3
976,Estrada (Poça Bácora),41.501656,-8.416276,3
977,Estrada (Poça Bácora),41.501663,-8.416203,3
978,Palácio,41.498985,-8.414599,3
979,Palácio,41.498901,-8.414400,3
980,S Miguel (Cruzamento),41.498352,-8.411805,3
981,S Miguel I,41.496624,-8.410966,3
982,S Miguel I,41.496670,-8.410920,3
983,S Miguel II,41.496216,-8.406702,3
984,S Miguel II,41.496277,-8.406694,3
985,S Miguel III (Igreja),41.493996,-8.409236,3
986,S Miguel III (Igreja),41.493996,-8.409156,3
987,Cabo Vila,41.491547,-8.411124,3
988,Cabo Vila,41.491547,-8.411024,3
989,Leitões,41.489609,-8.412325,3
990,Leitões,41.489567,-8.412273,3
991,Esmontada I (Campos),41.487968,-8.416172,3
992,Esmontada I (Campos),41.487957,-8.416085,3
995,Esmontada II ,41.487141,-8.416991,3
996,Esmontada II,41.487076,-8.416926,3
997,Cidelo I (Outeiro),41.486256,-8.419234,3
998,Cidelo I (Outeiro),41.486206,-8.419186,3
999,Cidelo II,41.485573,-8.423223,3
1000,Cidelo II,41.485603,-8.423079,3
1001,Manuel S Gomes ,41.526714,-8.451264,3
1002,Manuel S Gomes ,41.526783,-8.451280,3
1003,8 de Setembro,41.528347,-8.453885,3
1004,8 de Setembro,41.528240,-8.453908,3
1005,Mazagão I (Escola Profissional),41.528481,-8.456886,3
1006,Mazagão I (Escola Profissional),41.528431,-8.456838,3
1007,Mazagão II,41.527092,-8.460557,3
1008,Mazagão II ,41.527046,-8.460515,3
1009,Mazagão III,41.526295,-8.464876,3
1010,Mazagão III ,41.526253,-8.464803,3
1011,António Gomes I,41.525051,-8.468633,3
1012,António Gomes I,41.525009,-8.468567,3
1013,António Gomes II,41.524010,-8.470077,3
1014,António Gomes II,41.524010,-8.469981,3
1015,António Gomes III ,41.522079,-8.473216,3
1016,António Gomes III,41.522034,-8.473181,3
1017,Santa Cecília I (Cruzeiro Vilaça),41.520058,-8.475348,3
1018,Santa Cecília I (Cruzeiro Vilaça),41.520042,-8.475222,3
1019,Quinta I (Cemitério),41.518139,-8.477572,3
1020,Quinta II (Pt Auto-Estrada),41.519169,-8.482395,3
1022,Entre Muros I,41.519970,-8.485776,3
1023,Entre Muros II ,41.519257,-8.489514,3
1024,Quebrada I,41.518684,-8.491628,3
1026,Quebrada II (Fontenário),41.517178,-8.490370,3
1027,Escola I,41.515965,-8.488229,3
1028,Escola II (Soldouro),41.513371,-8.487055,3
1029,Santo António I,41.512856,-8.484566,3
1030,Santo António II (Estação),41.510921,-8.484030,3
1031,Humberto Delgado II,41.509720,-8.485506,3
1032,Humberto Delgado II,41.509659,-8.485476,3
1033,Soutelo (Cemitério),41.507626,-8.489015,3
1034,Falperra II (Limite 1/2),41.535713,-8.409406,1
1035,Falperra III (Seminário),41.534851,-8.404366,2
1037,Falperra III (Seminário),41.535263,-8.404922,2
1039,Falperra VII (Limite 2/3),41.527935,-8.389583,2
1040,Falperra VII (Limite 3/2),41.527946,-8.389506,3
1041,Falperra VIII (Santa Marta),41.520782,-8.389424,3
1042,Falperra VIII (Santa Marta),41.520821,-8.389521,3
1043,Falperra IX ,41.527584,-8.385706,3
1044,Falperra IX,41.527607,-8.385778,3
1045,Falperra X,41.536125,-8.382313,3
1046,Falperra X,41.536209,-8.382338,3
1047,Falperra XI,41.537235,-8.373666,3
1048,Falperra XI,41.537205,-8.373749,3
1049,Falperra XII (Carmelitas),41.540470,-8.373329,3
1050,Falperra XII (Carmelitas),41.540592,-8.373385,3
1051,Santuário (Sameiro),41.540359,-8.368199,3
1052,Martinho (Gnr),41.543362,-8.369340,3
1053,Martinho (Irmãs S Família),41.543583,-8.366299,3
1054,Martinho (Irmãs S Família),41.543674,-8.366248,3
1057,Parque Ind Marvila II,41.533070,-8.477411,3
1058,Parque Ind Marvila II,41.533089,-8.477280,3
1059,Parque Ind Marvila I,41.531593,-8.476987,3
1060,Parque Ind Marvila I,41.531654,-8.476897,3
1061,Sequeira III (Carvalho),41.532230,-8.471090,3
1062,Sequeira III (Carvalho),41.532379,-8.470803,3
1063,Sequeira II,41.533470,-8.464033,3
1064,Sequeira II,41.533405,-8.464003,3
1065,Sequeira I (Limite 3/2),41.534092,-8.459355,3
1066,Sequeira I (Limite 2/3),41.534145,-8.460061,2
1067,Extremo III (Cruzamento),41.534912,-8.456020,2
1068,Extremo III (Cruzamento),41.534847,-8.455912,2
1069,Extremo II,41.536144,-8.454198,2
1070,Extremo II,41.535976,-8.454122,2
1071,Extremo I (Amarela),41.537342,-8.451810,2
1072,Extremo I (Amarela),41.537411,-8.451817,2
1073,Nova Variante,41.534874,-8.448087,2
1074,Nova Variante,41.534954,-8.448295,2
1075,Frei J Vilaça (Limite 1/2),41.534924,-8.442006,1
1076,Caldas (Alegrete) ,41.534206,-8.478871,3
1077,Caldas (Alegrete)  ,41.534275,-8.478909,3
1078,Fojo II,41.578186,-8.371103,3
1079,Fojo II,41.578194,-8.371196,3
1082,Nova do Noval ,41.526134,-8.452842,3
1083,Nova do Noval ,41.526134,-8.452740,3
1084,Noval I (Cruzamento),41.523605,-8.454332,3
1085,Noval I (Cruzamento),41.523647,-8.454426,3
1086,Noval II,41.522583,-8.455342,3
1087,Noval II,41.522655,-8.455363,3
1088,Quinta I,41.522896,-8.456818,3
1089,Quinta I,41.522923,-8.456749,3
1090,Quinta II (Mazagão),41.524647,-8.455899,3
1091,Quinta II (Mazagão),41.524647,-8.455974,3
1092,Senhora do Parto I (Mazagão),41.525818,-8.456058,3
1093,Senhora do Parto I (Mazagão),41.525715,-8.456051,3
1094,Senhora do Parto II (Torre),41.524891,-8.458963,3
1095,Senhora do Parto II (Torre),41.524841,-8.458951,3
1096,Senhora do Parto III,41.523361,-8.460347,3
1097,Senhora do Parto III,41.523197,-8.460423,3
1098,Senhora do Parto IV (Cruzeiro),41.522911,-8.462592,3
1099,Senhora do Parto IV (Cruzeiro),41.522869,-8.462528,3
1100,Senhora do Parto V (Cruzamento),41.520397,-8.465693,3
1101,Senhora do Parto V (Cruzamento),41.520367,-8.465624,3
1102,Gaião I,41.517288,-8.467671,3
1103,Gaião I,41.517326,-8.467609,3
1104,Gaião II (Móveis),41.515507,-8.465813,3
1105,Gaião II (Móveis),41.515514,-8.465758,3
1106,13 de Maio II,41.511562,-8.462977,3
1107,13 de Maio I,41.512974,-8.464370,3
1108,Sequeira V,41.530716,-8.480404,3
1109,Sequeira V,41.530636,-8.480378,3
1110,Sequeira VI ,41.530018,-8.484433,3
1111,Sequeira VI ,41.529949,-8.484410,3
1112,Labriosque I (Posto Médico),41.530949,-8.489766,3
1113,Labriosque I (Posto Médico),41.530849,-8.489772,3
1114,Labriosque II,41.532265,-8.491755,3
1115,Labriosque II,41.532207,-8.491817,3
1116,Senhor Passos I (P Martim),41.533928,-8.495488,3
1117,Senhor Passos I (P Martim),41.533592,-8.495955,3
1118,Luis A Correia ,41.553131,-8.396769,1
1119,Maria D Silva ,41.526257,-8.448212,2
1120,Senhor Passos II (Infantário),41.535694,-8.492802,3
1121,Senhor Passos II (Infantário),41.535782,-8.492834,3
1122,Senhor Passos III (EB23),41.536640,-8.490395,3
1123,Senhor Passos III (EB23),41.536751,-8.490344,3
1124,Senhor Passos IV (Padrão),41.537605,-8.488410,3
1125,Senhor Passos IV (Padrão),41.537682,-8.488514,3
1126,S Miguel II,41.541611,-8.486708,3
1127,S Miguel II,41.541630,-8.486794,3
1128,S Miguel III (Torre),41.542637,-8.485998,3
1129,S Miguel III (Torre),41.542690,-8.486083,3
1130,S Miguel IV,41.544342,-8.485618,3
1131,S Miguel IV,41.544300,-8.485788,3
1132,Cachada I,41.545551,-8.488084,3
1133,Cachada I,41.545498,-8.488092,3
1134,Cachada II (Paulinhos),41.545681,-8.492183,3
1136,Poça (Cruzamento),41.490864,-8.432799,3
1137,Poça (Cruzamento),41.490837,-8.432741,3
1138,Poça (Maia Carvalho),41.490128,-8.435345,3
1139,Poça (Maia Carvalho),41.490070,-8.435327,3
1140,Entre Águas ,41.489307,-8.437351,3
1141,Entre Águas ,41.489258,-8.437285,3
1142,Agro I ,41.486465,-8.441007,3
1143,Agro I,41.486458,-8.440890,3
1144,Agro II,41.484592,-8.443986,3
1145,Agro II,41.484562,-8.443899,3
1146,Agras,41.483295,-8.444744,3
1147,Agras,41.483223,-8.444618,3
1148,S Miguel III (Igreja),41.481972,-8.446781,3
1149,S Miguel III (Igreja),41.481842,-8.446597,3
1150,Outeiro I ,41.530254,-8.489697,3
1151,Outeiro I ,41.530220,-8.489589,3
1152,Outeiro II,41.529888,-8.493313,3
1153,Outeiro II,41.529888,-8.493193,3
1154,Outeiro III ,41.529572,-8.495495,3
1155,Outeiro III,41.529503,-8.495553,3
1156,Igreja I (Junta),41.528805,-8.497664,3
1157,Igreja I (Junta),41.528767,-8.497582,3
1158,Escola,41.527344,-8.502238,3
1159,Escola,41.527294,-8.502136,3
1160,Serra II,41.522644,-8.507808,3
1161,Serra II,41.522564,-8.507766,3
1162,Fábrica I (Cruzeiro),41.519970,-8.507911,3
1163,Fábrica I (Cruzeiro),41.519943,-8.507836,3
1165,Fábrica II (Serração),41.517029,-8.510105,3
1166,Trezeste I (Marb),41.506172,-8.455222,3
1168,Trezeste II,41.503223,-8.457091,3
1169,Trezeste II,41.503193,-8.457008,3
1170,Senhor Bons Caminhos I (Alminhas),41.498425,-8.461047,3
1171,Senhor Bons Caminhos I (Alminhas) ,41.498402,-8.460979,3
1172,Senhor Bons Caminhos II (Tanque),41.496574,-8.463498,3
1173,Senhor Bons Caminhos II (Tanque),41.496468,-8.463560,3
1174,Senhor Bons Caminhos III (Escola),41.496670,-8.466441,3
1175,Senhor Bons Caminhos III (Escola),41.496689,-8.466336,3
1176,Moimenta ,41.493191,-8.465823,3
1177,Moimenta ,41.493141,-8.465750,3
1178,António G Pereira II,41.488365,-8.472967,3
1179,António G Pereira II,41.488285,-8.472849,3
1180,António G Pereira III,41.486439,-8.475490,3
1181,António G Pereira III,41.486385,-8.475372,3
1182,António G Pereira IV,41.483860,-8.478705,3
1183,António G Pereira IV,41.483829,-8.478622,3
1184,António G Pereira V (Cemitério),41.481663,-8.480472,3
1185,Igreja III (Cemitério),41.481777,-8.481144,3
1186,Manuel A M Moreira ,41.483910,-8.486720,3
1187,Manuel A M Moreira ,41.483932,-8.486822,3
1188,Padrão (Cadoi),41.484856,-8.485206,3
1190,Igreja II (Junta),41.482471,-8.483770,3
1191,S Pedro I,41.482101,-8.470968,3
1192,S Pedro I,41.482075,-8.470878,3
1193,S Pedro II (Escola),41.479111,-8.471373,3
1194,S Pedro II (Escola),41.479130,-8.471230,3
1195,S Pedro III,41.478794,-8.468182,3
1196,S Pedro III,41.478848,-8.468243,3
1197,S Pedro IV (Cruzamento),41.479507,-8.465418,3
1198,S Pedro IV (Cruzamento),41.479599,-8.465280,3
1199,S Pedro V,41.480770,-8.462978,3
1200,S Pedro V,41.480824,-8.463012,3
1201,S Miguel I (Lage),41.481159,-8.456909,3
1202,S Miguel I (Lage),41.481236,-8.456852,3
1203,S Miguel II,41.481220,-8.451253,3
1204,S Miguel II,41.481293,-8.451270,3
1205,Arranhadouro,41.529160,-8.471718,3
1206,Arranhadouro,41.529190,-8.471660,3
1207,Assento I (Igreja),41.526775,-8.473041,3
1208,Assento I (Igreja),41.526783,-8.472908,3
1209,Assento II,41.523804,-8.475588,3
1210,Assento II,41.523777,-8.475500,3
1211,Santa Cecília II (Cruzamento),41.518204,-8.476954,3
1212,Santa Cecília II (Cruzamento),41.518185,-8.476877,3
1213,Santa Cecília III,41.516571,-8.477637,3
1214,Santa Cecília III,41.516560,-8.477535,3
1217,Santa Cecília V (Fontainhas),41.511875,-8.480623,3
1218,Santa Cecília V (Fontainhas),41.511826,-8.480577,3
1219,Humberto Delgado I (Estação),41.510727,-8.483751,3
1220,Humberto Delgado I (Estação),41.510647,-8.483796,3
1225,Guilherme B Cruz ,41.505096,-8.492309,3
1226,Guilherme B Cruz,41.505077,-8.492232,3
1227,Antenor B Marques ,41.503067,-8.494545,3
1228,Antenor B Marques ,41.503063,-8.494467,3
1229,Em - 562 I ,41.500111,-8.497098,3
1230,Em - 562 I,41.500111,-8.496995,3
1231,Em - 562 II (Centro Social P David),41.498489,-8.500687,3
1232,Em - 562 II (Centro Social P David),41.498493,-8.500605,3
1233,Em - 562 III ,41.495338,-8.504986,3
1234,Em - 562 III,41.495293,-8.504922,3
1235,Liberdade I,41.493176,-8.507918,3
1236,Liberdade I,41.493172,-8.507814,3
1237,Liberdade II ,41.491440,-8.510101,3
1238,Liberdade II,41.491440,-8.510018,3
1239,Igreja ,41.490471,-8.511791,3
1240,Igreja (Cunha) ,41.491165,-8.512042,3
1241,Levegada,41.495522,-8.509672,3
1242,Levegada (Fontenário),41.496864,-8.509112,3
1243,S Miguel I (Quintães),41.498234,-8.511051,3
1244,S Miguel II (C Futebol),41.499119,-8.511782,3
1245,Cal (Cunha Portelo),41.498489,-8.515709,3
1246,Portelo I,41.497047,-8.515675,3
1247,Portelo II (Escola),41.495373,-8.515597,3
1248,Beirão (Junta),41.493317,-8.513271,3
1249,Igreja (Cunha),41.491062,-8.512228,3
1250,Liberdade IV,41.489143,-8.513104,3
1251,Liberdade IV,41.489120,-8.513032,3
1252,David O Martins I,41.487202,-8.514129,3
1253,David O Martins I,41.487255,-8.514152,3
1254,David O Martins II (Igreja),41.487350,-8.510521,3
1255,David O Martins II (Igreja),41.487499,-8.511096,3
1256,José Carolina,41.486900,-8.507138,3
1257,José Carolina,41.486912,-8.507199,3
1264,Quintães I,41.498604,-8.401151,3
1266,Quintães II,41.499119,-8.399491,3
1269,Nova Portela I,41.502750,-8.392065,3
1270,Domingos J F Braga,41.528469,-8.426342,2
1271,Domingos J F Braga,41.528500,-8.426261,2
1272,Ventoso I,41.526993,-8.426169,2
1273,Ventoso I,41.526978,-8.426089,2
1274,Ventoso II,41.524693,-8.426005,2
1275,Ventoso II,41.524708,-8.425933,2
1276,Capela ,41.522587,-8.426638,2
1277,Capela ,41.522598,-8.426552,2
1278,Cachada I,41.520573,-8.426545,2
1279,Cachada I,41.520580,-8.426473,2
1280,Cachada II (Limite 2/3),41.518295,-8.424187,2
1281,Cachada II (Limite 3/2),41.518330,-8.424123,3
1282,Sandins,41.502842,-8.434450,3
1283,Sandins,41.502892,-8.434470,3
1284,Mamôa ,41.502972,-8.431956,3
1285,Mamôa ,41.503056,-8.431981,3
1286,Carvalhas I,41.500542,-8.427087,3
1287,Carvalhas I,41.500496,-8.427104,3
1288,Carvalhas II,41.499710,-8.424608,3
1289,Carvalhas II,41.499767,-8.424594,3
